site,lat,lon
Streaky Bay,-32.8084,134.1979
Tarcoola,-30.7051,134.5786
Elliston,-33.6501,134.888
Kyancutta,-33.1337,135.5521
Woomera,-31.1558,136.8054
Mount Ive,-32.4398,136.0671
Cleve,-33.7011,136.4937
Cleve Airport,-33.7081,136.5026
Warooka,-34.9906,137.3995
Maitland,-34.3745,137.6733
Warburto Point,-34.0041,137.528
Kimba,-33.1416,136.4126
Adelaide Airport,-34.9524,138.5196
Hawker,-31.9043,138.4388
Leigh Creek,-30.5963,138.4219
Arkaroola,-30.311,139.3357
Hindmarsh Island,-35.5194,138.8177
Mount Crawford,-34.7253,138.9278
Yongala,-33.0276,138.756
Eudunda,-34.1773,139.0903
Nuriootpa,-34.4761,139.0056
Loxton,-34.439,140.5978
Kuitpo,-35.1712,138.6783
Yunta,-32.5707,139.5645
Kadina,-33.9703,137.6628
Lameroo AWS,-35.3778,140.5378
Neptune Island,-35.3365,136.1174
Mount Barker,-35.0732,138.8466
Parndana,-35.7916,137.2496
Noarlunga,-35.1586,138.5057
Edithburgh,-35.1121,137.7395
Parawa West,-35.5695,138.2864
Robe,-37.1628,139.756
Cape Jaffa,-36.9655,139.7164
Strathalbyn,-35.2836,138.8934
Keith,-36.098,140.3556
Coonawarra,-37.2906,140.8254
Naracoorte,-36.9813,140.727
Mount Gambier,-37.7473,140.7739
Cape Willoughby,-35.8426,138.1327
Coober Pedy Airport,-29.0347,134.7222
Marree Airport,-29.6587,138.0684
Moomba Airport,-28.0997,140.1956
Point Avoid,-34.675,135.3362
Thevenard,-32.149,133.6416
Wudinna Airport,-33.043,135.4519
Roxby Downs,-30.4869,136.8739
Minlaton Airport,-34.748,137.5276
Andamooka,-30.449,137.1692
Port Lincoln Airport,-34.5993,135.8784
Minnipa RS,-32.8427,135.1515
Cummins Airport,-34.2524,135.7135
Whyalla,-33.0539,137.5206
Port Augusta,-32.5073,137.7169
Clare,-33.8226,138.5933
Gluepot,-33.7622,140.1251
Snowtown,-33.7675,138.2182
Roseworthy,-34.5106,138.6763
Outer Harbor (Black Pole),-34.7343,138.4653
Edinburgh,-34.7111,138.6223
Parafield,-34.7977,138.6281
Mount Lofty,-34.9784,138.7088
Sellicks Hill,-35.3294,138.5019
Cultana (Defence),-32.6845,137.3689
Renmark Airport,-34.1983,140.6766
Cape Borda,-35.7549,136.5959
Stenhouse Bay,-35.2795,136.9392
Kingscote,-35.7114,137.5231
Victor Harbor,-35.5544,138.5997
Murray Bridge,-35.1234,139.2592
Karoonda,-35.09,139.8972
Keith West,-36.1058,140.3273
Robe Airport,-37.1776,139.8054
Pallamana,-35.065,139.2273
Padthaway,-36.6539,140.5212
Port Pirie Airport AWS,-33.2371,137.9971
ACT PCS2,-35.4147,149.0123
TIDBINBILLA,-35.4571,148.935
KOWEN FOREST,-35.3117,149.316
Victoria Portable AWS N (CFA),-36.0177,144.0737
ACT PCS2,-35.4149,149.0122
ACT PCS2,-35.4142,149.0121
TIDBINBILLA,-35.4567,148.935
Victoria Portable AWS N (CFA),-36.0174,144.0736
Victoria Portable AWS N (CFA),-36.0178,144.0734
Victoria Portable AWS N (CFA),-36.0176,144.0735
Victoria Portable AWS N (CFA),-36.0178,144.0736
Davey Gorge (PWS),-43.1454,145.9481
Bollon,-28.0316,147.4815
ACT PCS2,-35.4147,149.0127
Wagin,-33.3075,117.3403
Meningie,-35.6902,139.3375
MULLION,-35.1066,148.8486
MULLION,-35.1066,148.8484
KOWEN FOREST,-35.3116,149.3164
KOWEN FOREST,-35.3115,149.3163
KOWEN FOREST,-35.3116,149.3162
GUDGENBY,-35.7345,148.9757
Kellerberrin,-31.6183,117.7217
ACT PCS2,-35.4142,149.0125
Ross (TFS),-42.017,147.4974
ACT PCS2,-35.4145,149.0125
ACT PCS3,-35.3946,148.9014
Glenburn (CFA),-37.346,145.4673
Davey Gorge (PWS),-43.1454,145.9482
Dorrigo,-30.3444,152.7187
Orange AgIn,-33.3211,149.0828
ACT PCS2,-35.4147,149.0124
TIDBINBILLA,-35.4571,148.9354
TIDBINBILLA,-35.457,148.9349
ACT PCS3,-35.395,148.9015
ACT PCS3,-35.3947,148.9012
Victoria Portable AWS N (CFA),-36.0174,144.0735
Dove River (PWS),-41.5985,145.9734
Ballan (CFA),-37.6172,144.2423
Glenburn (CFA),-37.3459,145.4676
Glenburn (CFA),-37.3458,145.4675
Bidyadanga,-18.6844,121.7803
ACT PCS2,-35.4148,149.0122
ACT PCS2,-35.4147,149.0122
ACT PCS2,-35.4146,149.0122
ACT PCS2,-35.4146,149.0121
ACT PCS2,-35.414,149.0123
ACT PCS3,-35.3945,148.9016
Dove River (PWS),-41.5984,145.9733
Corowa,-35.9887,146.3574
Ballan (CFA),-37.6173,144.2422
Dove River (PWS),-41.5983,145.9733
MULLION,-35.1069,148.8485
Pardoo,-20.1078,119.5811
ACT PCS3,-35.3949,148.9014
PWS C,-43.4169,146.1507
Ross (TFS),-42.0171,147.4974
Victoria Portable AWS A (CFA),-38.0477,143.6494
Victoria Portable AWS A (CFA),-38.0476,143.6488
Victoria Portable AWS N (CFA),-36.0175,144.0734
PWS C,-43.4172,146.15
Ross (TFS),-42.017,147.4972
TIDBINBILLA,-35.4569,148.9349
PWS C,-43.4166,146.1504
PWS C,-43.4168,146.1507
Davey Gorge (PWS),-43.1456,145.9479
Davey Gorge (PWS),-43.1455,145.9482
Ross (TFS),-42.0169,147.4974
MULLION,-35.1067,148.8486
PWS C,-43.4168,146.151
PWS C,-43.4168,146.1509
Wycheproof (CFA),-36.0686,143.221
PWS C,-43.4165,146.1508
Hobart Bushland Operations Depot (HCC),-42.9053,147.2851
Hobart Bushland Operations Depot (HCC),-42.9052,147.2851
ACT PCS3,-35.3948,148.9014
Wycheproof (CFA),-36.0688,143.2213
Ross (TFS),-42.017,147.4976
Ross (TFS),-42.0171,147.4976
Pemberton,-34.4478,116.0433
Ross (TFS),-42.0169,147.4976
Waratah (TFS),-41.448,145.5351
Victoria Portable AWS N (CFA),-36.0177,144.0735
Waratah (TFS),-41.4481,145.5351
Victoria Portable AWS N (CFA),-36.0177,144.0733
Victoria Portable AWS N (CFA),-36.0176,144.0734
Waratah (TFS),-41.448,145.5352
KOWEN FOREST,-35.3117,149.3161
Corryong Airport,-36.1826,147.8942
Victoria Portable AWS A (CFA),-38.0478,143.6497
Wycheproof (CFA),-36.0686,143.2212
Trentham East (CFA),-37.4015,144.3907
Glenburn (CFA),-37.3457,145.4677
PWS C,-43.4165,146.1505
Davey Gorge (PWS),-43.1461,145.9475
Davey Gorge (PWS),-43.1454,145.9479
ACT PCS2,-35.415,149.0133
Victoria Portable AWS N (CFA),-36.0176,144.0737
Glenburn (CFA),-37.3459,145.4677
ACT PCS3,-35.3946,148.9015
Dove River (PWS),-41.5983,145.9735
KOWEN FOREST,-35.3115,149.3161
ACT PCS3,-35.3946,148.9012
PWS C,-43.4165,146.151
Davey Gorge (PWS),-43.1453,145.9478
Wycheproof (CFA),-36.0685,143.221
Dove River (PWS),-41.5985,145.9733
Glenburn (CFA),-37.3457,145.4676
Hobart Bushland Operations Depot (HCC),-42.9052,147.2852
