site,lat,lon
Cape Moreton,-27.0314,153.4661
Cooktown,-15.4461,145.1861
Mareeba,-17.0704,145.4293
Bougainville Reef,-15.4877,147.1183
South Johnstone,-17.6053,145.9972
Woolshed,-19.4168,146.5362
Ayr,-19.6169,147.3758
Alva Beach,-19.4569,147.4833
Rosslyn Bay Harbour,-23.161,150.7901
Blackall,-24.4303,145.4306
Springsure,-24.123,148.0856
Mackay Airport,-21.1706,149.1794
St Lawrence,-22.3472,149.5242
Williamson,-22.4703,150.1786
Birdsville,-25.8975,139.3472
Ballera,-27.4008,141.8114
Thargomindah,-27.9867,143.815
Miles,-26.6569,150.1819
Texas,-28.8544,151.1681
Gayndah,-25.6167,151.6156
Toowoomba,-27.5425,151.9134
Hervey Bay,-25.322,152.8817
Beerburrum,-26.9586,152.9619
Nambour,-26.6442,152.9383
Beaudesert AWS,-27.9707,152.9898
Logan City,-27.6841,153.1981
Redcliffe,-27.2169,153.0922
Cowley Beach (Defence),-17.6905,146.1126
Hay Point,-21.2894,149.3008
Chinchilla Airport,-26.769,150.6171
Wellcamp Airport,-27.5517,151.7845
Goondiwindi,-28.5226,150.3223
North West 10 Beacon,-27.0,153.242
Hope Banks Beacon,-27.4344,153.2904
Borrona Downs,-29.7614,143.1135
Lightning Ridge,-29.431,147.9722
Mungindi,-28.9786,148.9899
Inverell RS,-29.7752,151.082
Pindari Dam,-29.3899,151.2448
Tenterfield,-29.0479,152.0172
Lismore Airport,-28.8305,153.2601
Casino,-28.8824,153.0618
Murwillumbah,-28.3395,153.3809
Tabulam,-28.7551,152.4507
Glen Innes Airport,-29.678,151.694
Yamba,-29.4325,153.3632
Ballina,-28.8353,153.5585
Evans Head,-29.183,153.3964
Cape Byron,-28.6399,153.6358
Maitland Airport,-32.7023,151.4881
Fowlers Gap,-31.0863,141.7008
Broken Hill Airport,-32.0012,141.4694
Lake Victoria,-34.0438,141.2676
Menindee,-32.3937,142.4173
Hillston,-33.4915,145.5248
Hay Airport,-34.5412,144.8315
Bourke,-30.0362,145.9521
Nyngan,-31.5495,147.1961
Cobar Airport,-31.5388,145.7964
Cobar,-31.484,145.8294
Young,-34.2493,148.2475
Cootamundra,-34.6299,148.0365
Forbes,-33.3627,147.9205
Goulburn,-34.7495,149.7034
Peak Hill,-32.7235,148.1902
Wellington,-32.5635,148.9503
Grenfell,-33.8934,148.1523
Mudgee,-32.5628,149.6149
Coonabarabran,-31.2786,149.2786
Bathurst Airport,-33.4119,149.654
Bathurst,-33.4288,149.5559
Gulgong,-32.3634,149.5329
Gunnedah Resource Centre,-31.0261,150.2687
Lithgow,-33.4769,150.1303
Mount Boyce,-33.6185,150.2741
Katoomba,-33.7139,150.2953
Moss Vale,-34.5253,150.4217
Bellambi,-34.3692,150.9291
Nowra,-34.9469,150.5353
Jervis Bay Airfield,-35.1439,150.6973
Badgerys Creek,-33.8969,150.7281
Nullo Mountain,-32.7244,150.229
Camden,-34.039,150.689
Campbelltown,-34.0615,150.7735
Murrurundi,-31.7678,150.8418
Terrey Hills,-33.6908,151.2253
Horsley Park,-33.851,150.8567
Barraba,-30.3833,150.6083
Penrith,-33.7195,150.6783
Parramatta,-33.7917,151.0181
Bankstown,-33.9176,150.9837
Canterbury,-33.9057,151.1134
Sydney Airport,-33.9465,151.1731
Sydney - Observatory Hill,-33.8593,151.2048
Fort Denison,-33.8551,151.2254
Guyra,-30.2122,151.6794
Armidale,-30.5243,151.6716
Newcastle Nobbys,-32.9184,151.7985
Tocal,-32.6296,151.5919
Williamtown,-32.7939,151.8364
Little Bay,-33.9829,151.2502
Gosford,-33.4351,151.3614
Mount Seaview,-31.3865,152.2482
Kempsey Airport,-31.0711,152.7717
Woolbrook,-30.9651,151.3505
Brewon,-30.2411,147.5327
Girilambone,-31.0824,146.9296
Smithville,-30.0692,141.0067
Mulurulu,-33.3392,143.4
Noona,-31.7267,144.9313
Port Macquarie Airport,-31.4343,152.8662
Hume Reservoir,-36.1039,147.0329
Burrinjuck Dam,-34.9997,148.5984
Wagga Wagga,-35.1583,147.4575
Perisher Valley,-36.4069,148.4055
Tumbarumba,-35.778,148.0122
Khancoban,-36.2304,148.1405
Cooma Airport,-36.2939,148.9725
Cooma,-36.2318,149.1243
Tuggeranong,-35.4184,149.0937
Canberra,-35.3106,149.197
Braidwood,-35.4253,149.7835
Bombala,-36.9113,149.2379
Bombala AWS,-37.0015,149.2336
Green Cape,-37.2622,150.0504
Moruya Heads,-35.9093,150.1532
Ulladulla,-35.3635,150.4828
Montague Island,-36.2519,150.2275
Nerriga,-35.1103,150.0826
Kapooka (Defence),-35.1327,147.2512
Lord Howe Island,-31.5421,159.0786
Norfolk Island,-29.0389,167.9408
Tibooburra Airport,-29.4448,142.0567
Brewarrina,-29.9614,146.8651
Collarenebri,-29.5406,148.5817
Moree,-29.4898,149.8471
Inverell,-29.7796,151.1121
Grafton Airport,-29.7583,153.0297
Grafton AgRS,-29.6224,152.9605
Delta,-30.1006,145.3338
Mount Hope,-32.8261,145.8801
Holsworthy (Defence),-34.081,150.9009
Marrangaroo (Defence),-33.4346,150.135
Pooncarie,-33.3856,142.5696
Wilcannia Airport,-31.5194,143.385
Ivanhoe Airport,-32.8833,144.3092
White Cliffs AWS,-30.8522,143.0743
Griffith,-34.2487,146.0695
Yanco,-34.6222,146.4327
Narrandera Airport,-34.705,146.514
Lake Cargelligo,-33.2832,146.3706
Condobolin Airport,-33.0682,147.2133
West Wyalong,-33.9382,147.1962
Trangie,-31.9861,147.9489
Walgett,-30.0372,148.1223
Goulburn Airport,-34.8085,149.7311
Parkes Airport,-33.1281,148.2428
Coonamble,-30.9776,148.3798
Dubbo,-32.2206,148.5753
Cowra,-33.8382,148.654
Temora,-34.4277,147.5117
Orange Airport,-33.3768,149.1263
Dunedoo,-32.0165,149.3956
Coonabarabran Airport,-31.333,149.2699
Coffs Harbour Airport,-30.3189,153.1162
Narrabri,-30.3154,149.8302
Gunnedah Airport,-30.9537,150.2494
Port Kembla Harbour,-34.4734,150.9118
Quirindi,-31.5086,150.6793
Murrurundi Gap,-31.7416,150.7937
Albion Park,-34.5639,150.7924
Kiama,-34.6532,150.8609
Wattamolla,-34.1407,151.1185
Richmond,-33.6004,150.7761
Merriwa,-32.1852,150.1737
Kurnell,-34.0039,151.2111
Lucas Heights (ANSTO),-34.0519,150.9825
Scone Airport,-32.0335,150.8264
Holsworthy,-33.9925,150.9489
Tamworth Airport,-31.0742,150.8362
Sydney Olympic Park,-33.8338,151.0718
Sydney Harbour,-33.8405,151.2643
Lake Macquarie - Cooranbong,-33.0887,151.4636
North Head,-33.8152,151.2986
Norah Head,-33.2814,151.5766
Cessnock Airport,-32.7914,151.3369
Lostock,-32.3322,151.4595
Armidale Airport,-30.5273,151.6158
Mangrove Mountain,-33.2894,151.2107
Taree Airport,-31.8895,152.512
Deniliquin,-35.5575,144.9458
Albury,-36.069,146.9509
Thredbo Village,-36.5031,148.3038
Thredbo Top Station,-36.4917,148.2859
Cabramurra,-35.9371,148.3779
Mount Ginini,-35.5293,148.7721
Merimbula,-36.9077,149.8989
Bega,-36.6722,149.8191
Narooma,-36.2144,150.1358
Moruya Airport,-35.9004,150.1437
Point Perpendicular,-35.0936,150.8049
Lord Howe Island Windy Point,-31.5381,159.0733
ACT PCS2,-35.4146,149.0123
ACT PCS2,-35.4146,149.0124
ACT PCS2,-35.4146,149.0125
ACT PCS2,-35.4145,149.0124
ACT PCS2,-35.4145,149.0123
ACT PCS2,-35.4143,149.0137
ACT PCS2,-35.4148,149.0128
ACT PCS2,-35.4148,149.0121
Singleton (Defence),-32.6976,151.1564
High Range (Wanganderry),-34.3335,150.267
TIDBINBILLA,-35.457,148.935
TIDBINBILLA,-35.4569,148.9351
TIDBINBILLA,-35.457,148.9351
TIDBINBILLA,-35.457,148.9352
TIDBINBILLA,-35.4568,148.935
TIDBINBILLA,-35.4568,148.9352
TIDBINBILLA,-35.4569,148.935
TIDBINBILLA,-35.4571,148.9342
TIDBINBILLA,-35.4568,148.9351
MULLION,-35.1067,148.8485
MULLION,-35.1067,148.8484
MULLION,-35.1068,148.8485
KOWEN FOREST,-35.3116,149.3161
KOWEN FOREST,-35.3116,149.316
GUDGENBY,-35.7345,148.9756
GUDGENBY,-35.7344,148.9756
GUDGENBY,-35.7344,148.9757
ACT PCS3,-35.3947,148.9013
ACT PCS3,-35.3946,148.9013
ACT PCS3,-35.3947,148.9014
ACT PCS3,-35.3948,148.9013
ACT PCS3,-35.3948,148.9012
Mildura,-34.2358,142.0867
Cape Nelson,-38.4306,141.5437
Nhill Aerodrome,-36.3093,141.6486
Portland Airport,-38.3148,141.4705
Hamilton,-37.6486,142.0636
Port Fairy,-38.3906,142.2348
Mount William,-37.295,142.6039
Ararat,-37.2769,142.9786
Ben Nevis,-37.2281,143.2005
Stawell,-37.072,142.7402
Warrnambool,-38.2869,142.4524
Hopetoun Airport,-35.7151,142.3569
Charlton,-36.2846,143.3341
Mortlake,-38.0737,142.7744
Cape Otway,-38.8557,143.513
Swan Hill,-35.3766,143.5416
Kerang,-35.7236,143.9196
Aireys Inlet,-38.4583,144.0883
Point Wilson,-38.0958,144.5361
Maryborough,-37.056,143.732
Ballarat,-37.5127,143.7911
South Channel Island,-38.3065,144.8016
Avalon,-38.0288,144.4783
Bendigo,-36.7411,144.3274
Puckapunyal West (Defence),-37.0177,144.8546
Geelong Racecourse,-38.1737,144.3765
Puckapunyal-Lyon Hill (Defence),-36.9381,145.0539
Redesdale,-37.0194,144.5203
Kilmore Gap,-37.3807,144.9654
Echuca,-36.1639,144.7639
Yarrawonga,-36.0294,146.0305
She Oaks,-37.9075,144.1303
Coldstream,-37.7239,145.4092
Laverton,-37.8565,144.7565
Melbourne Airport,-37.6654,144.8322
Moorabbin Airport,-37.98,145.0962
Frankston Beach,-38.148,145.1152
Ferny Creek,-37.8748,145.3497
Mangalore,-36.8886,145.1859
Shepparton,-36.4288,145.3949
Frankston (Ballam Park),-38.1517,145.1615
Hunters Hill,-36.2137,147.5395
Eildon Fire Tower,-37.2091,145.8423
Lake Eildon,-37.2313,145.9124
Benalla,-36.5522,145.9977
Pound Creek,-38.6297,145.8107
Lake Dartmouth,-36.5352,147.4984
Wangaratta,-36.4205,146.3056
Latrobe Valley,-38.2094,146.4746
Rhyll,-38.4612,145.3101
Wilsons Promontory,-39.1297,146.4246
Mount Buller,-37.145,146.4394
Cerberus,-38.3646,145.1785
Falls Creek,-36.8708,147.2755
Mount Hotham Airport,-37.0491,147.3347
Mount Hotham,-36.9772,147.1342
Omeo,-37.1017,147.6008
Yanakie,-38.8051,146.1936
Bairnsdale,-37.8818,147.5669
Gelantipy,-37.22,148.2626
Combienbar,-37.3416,149.0227
Warracknabeal Airport,-36.3203,142.4161
Mount Nowa Nowa,-37.6924,148.0908
Gabo Island,-37.5679,149.9158
Mallacoota,-37.5976,149.7289
Hogan Island,-39.2225,146.9841
Dartmoor,-37.9222,141.2614
Casterton,-37.583,141.3339
Portland Harbour,-38.3439,141.6136
Kanagulk,-37.1169,141.8031
Walpeup,-35.1201,142.004
Edenhope,-37.0222,141.2657
Kyabram,-36.335,145.0638
Longerenong,-36.6722,142.2991
Tatura,-36.4379,145.2673
Rutherglen,-36.1048,146.5094
Edi Upper,-36.7396,146.4671
Horsham,-36.6699,142.1733
Westmere,-37.7067,142.9378
Strathbogie,-36.8472,145.7307
Mount Gellibrand,-38.2333,143.7924
Castlemaine,-37.0809,144.2391
St Kilda Harbour RMYS,-37.864,144.9639
Essendon Airport,-37.7276,144.9066
Scoresby,-37.871,145.2561
Fawkner Beacon,-37.9483,144.9269
Viewbank,-37.7408,145.0972
Wonthaggi,-38.6078,145.5965
Yarram Airport,-38.5647,146.7479
Mount Baw Baw,-37.8384,146.2747
Lakes Entrance,-37.8717,148.006
East Sale Airport,-38.1016,147.1398
Mount Moornapa,-37.7481,147.1428
Orbost,-37.6922,148.4667
Melbourne (Olympic Park),-37.8255,144.9816
Point Cook,-37.9273,144.7566
Warragul (Nilma North),-38.1321,145.9865
Victoria Portable AWS A (CFA),-38.0477,143.6495
Victoria Portable AWS A (CFA),-38.0477,143.6496
Victoria Portable AWS A (CFA),-38.0478,143.6496
Victoria Portable AWS A (CFA),-38.0478,143.6495
Victoria Portable AWS A (CFA),-38.0478,143.6494
Wycheproof (CFA),-36.0685,143.2211
Wycheproof (CFA),-36.0685,143.2212
Wycheproof (CFA),-36.0684,143.2211
Wycheproof (CFA),-36.0684,143.2212
Ballan (CFA),-37.6172,144.2421
Ballan (CFA),-37.6172,144.2422
Trentham East (CFA),-37.4016,144.3906
Trentham East (CFA),-37.4015,144.3906
Trentham East (CFA),-37.4016,144.3905
Trentham East (CFA),-37.4016,144.3907
Glenburn (CFA),-37.3458,145.4676
Glenburn (CFA),-37.3458,145.4677
Victoria Portable AWS N (CFA),-36.0175,144.0736
Victoria Portable AWS N (CFA),-36.0174,144.0734
Victoria Portable AWS N (CFA),-36.0175,144.0737
Victoria Portable AWS N (CFA),-36.0176,144.0738
Victoria Portable AWS N (CFA),-36.0174,144.0738
Victoria Portable AWS N (CFA),-36.0176,144.0736
Novolazarevskaja,-70.7667,11.8333
Syowa,-69.0053,39.5811
Mawson,-67.6017,62.8753
Davis,-68.5744,77.9672
Mirnyj,-66.55,93.0167
Casey,-66.2825,110.5231
Dumont D'urville,-66.6631,140.0011
McMurdo,-77.85,166.6667
Bunger Hills,-66.251,100.6
Hobart Airport,-42.8333,147.5119
King Island Airport,-39.8804,143.8857
Marrawah,-40.9089,144.7094
Dunalley,-42.9017,147.7894
Smithton,-40.8347,145.0847
Sheffield,-41.389,146.3173
Strahan,-42.155,145.2908
Ouse,-42.4842,146.7106
Butlers Gorge,-42.2753,146.2758
Tunnack,-42.4543,147.4612
Dover,-43.333,146.998
Maatsuyker Island,-43.6578,146.2711
Bushy Park,-42.7097,146.8983
Launceston,-41.4194,147.1219
Hobart,-42.8897,147.3278
Scottsdale,-41.1708,147.4883
Cape Sorell,-42.1986,145.17
Lake St Clair,-42.1177,146.1771
Hartz Mountains,-43.2006,146.7683
Flinders Island Airport,-40.0911,148.0024
Swansea,-42.1381,148.0736
Larapuna (Eddystone Point),-40.9928,148.3467
Ross,-42.025,147.4954
Friendly Beaches,-41.9953,148.2794
Dennes Point,-43.0639,147.3567
Macquarie Island,-54.4994,158.9369
Mount Read,-41.8444,145.5417
Kennaook / Cape Grim,-40.6764,144.6922
Luncheon Hill,-41.1492,145.1517
Wynyard,-40.9964,145.7311
Scotts Peak,-43.0425,146.2722
Liawenee,-41.8997,146.6694
Devonport Airport,-41.1701,146.4289
Low Rocky Point,-42.9831,145.5025
Warra,-43.0609,146.704
Burnie Port,-41.05,145.9149
Low Head,-41.0547,146.7874
Launceston Airport,-41.5476,147.2156
Cape Bruny AWS,-43.4886,147.1444
Cressy,-41.7114,147.082
Campania,-42.6867,147.4258
Fingal,-41.643,147.98
Grove,-42.9844,147.0756
kunanyi /Mount Wellington,-42.895,147.2358
St Helens,-41.3381,148.2792
Swan Island,-40.7292,148.125
Tasman Island,-43.2397,148.0025
Spring Bay,-42.5464,147.9308
Maria Island,-42.6621,148.0179
Bicheno,-41.8739,148.3036
PWS C,-43.4167,146.1509
PWS C,-43.4168,146.1508
PWS C,-43.4166,146.1507
PWS C,-43.4167,146.1508
PWS C,-43.4166,146.151
PWS C,-43.4166,146.1509
PWS C,-43.4167,146.151
Davey Gorge (PWS),-43.1455,145.948
Davey Gorge (PWS),-43.1456,145.948
Davey Gorge (PWS),-43.1455,145.9479
Davey Gorge (PWS),-43.1454,145.948
Davey Gorge (PWS),-43.1453,145.9477
Davey Gorge (PWS),-43.1455,145.9478
Dove River (PWS),-41.5984,145.9734
Dove River (PWS),-41.5983,145.9734
Hobart Bushland Operations Depot (HCC),-42.9053,147.2849
Hobart Bushland Operations Depot (HCC),-42.9052,147.2849
Hobart Bushland Operations Depot (HCC),-42.9053,147.285
Hobart Bushland Operations Depot (HCC),-42.9052,147.2848
Hobart Bushland Operations Depot (HCC),-42.9052,147.285
Hobart Bushland Operations Depot (HCC),-42.9053,147.2848
Ross (TFS),-42.017,147.4975
Ross (TFS),-42.0169,147.4975
Ross (TFS),-42.0168,147.4974
Kalumburu,-14.2964,126.6453
Troughton Island,-13.7542,126.1485
Browse Island,-14.1093,123.5476
Mandora,-19.7419,120.8433
Cygnet Bay,-16.4513,123.0087
Broome,-17.9475,122.2352
Curtin,-17.5768,123.8297
Fitzroy Crossing,-18.1814,125.5619
Rowley Shoals,-17.5217,118.9531
Adele Island,-15.5114,123.1556
Halls Creek,-18.2337,127.6666
Warmun,-17.0154,128.2174
Kununurra Airport,-15.7814,128.71
Argyle,-16.638,128.4516
Carnarvon,-24.8878,113.67
Learmonth,-22.2406,114.0967
Thevenard Island,-21.4609,115.0188
Mardie,-21.1906,115.9797
Legendre Island,-20.3583,116.8431
Roebourne Airport,-20.7594,117.1583
Bedout Island,-19.5894,119.1
Port Hedland,-20.3725,118.6317
Paraburdoo,-23.1726,117.7493
Newman Airport,-23.4213,119.8023
Emu Creek,-23.0314,115.0414
Telfer,-21.7125,122.2281
Karijini North,-22.2999,118.4498
Kalbarri,-27.7119,114.165
Geraldton Airport,-28.8047,114.6989
Paynes Find,-29.2708,117.6836
North Island,-28.3009,113.5937
Mullewa,-28.5367,115.5142
Carnamah,-29.6883,115.8857
Morawa Airport,-29.2039,116.0247
Murchison,-26.8956,115.9567
Mount Magnet Airport,-28.1156,117.8425
Meekatharra,-26.6136,118.5372
Bulga Downs,-28.4967,119.7436
Laverton,-28.6133,122.4236
Leonora Airport,-28.8789,121.3186
Carnegie,-25.7964,122.9753
Warburton,-26.1317,126.5839
Giles,-25.0341,128.301
Cape Naturaliste,-33.5372,115.0189
Cape Leeuwin,-34.3728,115.1358
Rottnest Island,-32.0069,115.5022
Badgingarra,-30.3381,115.5394
Bunbury,-33.3567,115.6447
Mandurah,-32.5219,115.7119
Ocean Reef,-31.7594,115.7278
Perth,-31.9192,115.8728
Jandakot,-32.1011,115.8794
Perth Airport,-31.9275,115.9764
Pearce,-31.6669,116.0189
Swanbourne,-31.956,115.7619
Gooseberry Hill,-31.9414,116.0506
Manjimup,-34.2508,116.145
Dwellingup,-32.7103,116.0594
Northam,-31.6508,116.6586
Wongan Hills,-30.8917,116.7186
York,-31.8997,116.765
Brookton,-32.3728,117.0086
Narrogin,-32.9342,117.1797
